date,isYellowDust
2010/12/24,0
2010/12/23,1
2010/12/12,0
2010/12/11,1
2010/12/5,0
2010/12/4,0
2010/12/3,1
2010/11/15,0
2010/11/14,1
2010/11/13,1
2010/11/12,1
2010/5/26,0
2010/5/25,0
2010/5/24,0
2010/5/22,1
2010/5/21,1
2010/5/20,0
2010/5/12,0
2010/5/11,0
2010/5/9,0
2010/5/6,0
2010/5/5,1
2010/5/4,1
2010/5/3,1
2010/5/2,0
2010/5/1,0
2010/4/30,1
2010/4/29,0
2010/4/28,0
2010/4/27,1
2010/4/3,0
2010/4/2,0
2010/3/24,0
2010/3/23,0
2010/3/22,0
2010/3/21,1
2010/3/20,0
2010/3/17,0
2010/3/16,1
2010/3/14,0
2010/3/13,1
2011/6/4,0
2011/5/16,0
2011/5/14,0
2011/5/13,1
2011/5/5,0
2011/5/4,1
2011/5/3,1
2011/5/2,1
2011/5/1,1
2011/4/12,0
2011/4/11,0
2011/4/10,0
2011/3/22,1
2011/3/20,0
2012/12/4,0
2012/5/17,0
2012/5/16,0
2012/4/25,0
2012/4/24,1
2012/4/23,1
2012/4/10,0
2012/4/9,0
2012/4/3,0
2012/4/2,0
2012/4/1,0
2012/3/24,0
2013/10/12,1
2013/10/11,1
2013/4/19,0
2013/4/18,0
2013/4/16,0
2013/3/20,1
2013/3/19,1
2013/3/16,1
2013/3/11,0
2013/3/10,1
2013/3/9,1
2013/3/8,1
2013/3/1,0
2013/1/3,0
2013/1/2,1
2014/6/2,1
2014/6/1,1
2014/5/31,1
2014/5/30,1
2014/5/29,1
2014/5/28,1
2014/5/27,0
2014/5/26,0
2014/1/21,1
2014/1/1,0
2015/6/13,1
2015/6/12,0
2015/5/20,1
2015/5/7,0
2015/5/6,0
2015/5/5,0
2015/4/25,0
2015/4/18,1
2015/4/17,1
2015/3/30,0
2015/3/28,0
2015/3/23,0
2015/3/22,1
2015/3/2,1
2015/2/25,1
2015/2/24,1
2015/2/23,1
2015/2/22,0
2016/5/8,1
2016/5/7,1
2016/4/26,0
2016/4/25,1
2016/4/24,1
2016/4/23,1
2016/4/15,0
2016/4/14,0
2016/4/11,0
2016/4/10,1
2016/4/9,0